,K,logP,e,w,num_of_planets
454,48.60956575,6.088744724,-0.592133782,-25.97636066,1
455,67.62616852,4.752038559,0.967149848,10.19442806,0
456,67.62616852,4.752038559,0.967149848,10.19442806,0
457,67.62616852,4.752038559,0.967149848,10.19442806,0
458,148.3671239,4.785395248,-0.885526397,22.63266889,0
459,148.3671239,4.785395248,-0.885526397,22.63266889,0
460,148.3671239,4.785395248,-0.885526397,22.63266889,0
461,39.55104098,5.831461377,0.162752823,11.60603125,1
462,310.1433973,4.131736983,0.967756141,-832.6770476,1
463,58.99333404,5.921668836,-0.116030118,-2933.461212,1
464,97.48907646,6.790486966,-0.418802405,4869.799585,1
465,90.87882664,6.831005761,-0.433282843,0.491378379,1
466,10.09963613,5.197106751,0.434485672,94.9402488,0
467,10.09963613,5.197106751,0.434485672,94.9402488,0
468,10.09963613,5.197106751,0.434485672,94.9402488,0
469,25.15216378,8.157269675,-0.146136174,8786.326214,0
470,25.15216378,8.157269675,-0.146136174,8786.326214,0
471,25.15216378,8.157269675,-0.146136174,8786.326214,0
472,37.81128114,7.164042914,0.335466095,1.355207668,1
473,34.60297321,7.134825413,0.297955169,57.66270166,1
474,46.91946097,4.113038918,-0.278406411,285.5609315,1
475,42.6155463,5.822941342,0.40489209,-588.1877888,0
476,42.6155463,5.822941342,0.40489209,-588.1877888,0
477,42.6155463,5.822941342,0.40489209,-588.1877888,0
478,33.15072241,11.4318585,-0.819894536,0.087666053,0
479,33.15072241,11.4318585,-0.819894536,0.087666053,0
480,33.15072241,11.4318585,-0.819894536,0.087666053,0
