pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
Kepler-97,b,3,1.65,2.58664,,,2,,,,,,
Kepler-98,b,3,1.82,1.54168,,,1,,,,,,
HD 63454,b,3,64.2,2.81805,0,,1,,,,,,
HD 63765,b,3,20.9,358,0.24,,1,,,,,,
HD 65216,b,3,35.7,577.6,0.27,212,2,,,,,,
HD 66141,b,3,146.2,480.5,0.07,22.1,1,,,,,,
HD 66428,b,3,54.03,2263.12,0.493,187.03,1,,,,,,
HD 67087,b,3,73.6,352.2,0.17,285,2,,,,,,
HD 68988,b,3,184.7,6.27711,0.12,,1,,,,,,
HD 69830,b,3,3.51,8.667,0.1,340,3,,,,,,
HD 70573,b,3,148.5,851.8,0.4,269.6,1,,,,,,
HD 70642,b,3,30.4,2124.54,0.175,272.84,1,,,,,,
HD 72659,b,3,41,3658,0.22,,1,,,,,,
HD 73267,b,3,64.65,1245.36,0.23,231.799,1,,,,,,
HD 73526,b,3,102,188.3,0.19,,2,,,,,,
iot Dra,b,3,307.6,511.098,0.7124,91.58,1,,,,,,
Kepler-18,b,3,5.2,3.504725,0,,3,,,,,,
Kepler-19,b,3,,9.28716,0.12,59.1,3,,,,,,
Kepler-20,b,3,4.2,3.69611525,0.03,,6,,,,,,
Kepler-21,b,3,1.99,2.78578,0.02,-15,1,,,,,,
Kepler-22,b,3,,289.8623,0,,1,,,,,,
Kepler-106,b,3,,6.16486,,,4,,,,,,
Kepler-107,b,3,1.32,3.1800218,0,,4,,,,,,
Kepler-109,b,3,,6.48163,,,2,,,,,,
Kepler-75,b,3,1287,8.8849116,0.57,63.5,1,,,,,,
Kepler-76,b,3,306,1.5449298,,,1,,,,,,
Kepler-77,b,3,59.2,3.57878087,0,,1,,,,,,
HD 73534,b,3,17.11,1750,0.126,168,1,,,,,,
HD 74156,b,3,109.6,51.645,0.627,176.5,2,,,,,,
HD 75289,b,3,54.9,3.50927,0.03,,1,,,,,,
HD 75784,b,3,24.9,341.2,0.097,350,2,,,,,,
HD 75898,b,3,63.39,422.9,0.11,241.1,1,,,,,,
HD 76700,b,3,27.6,3.97097,0.09,,1,,,,,,
HD 77338,b,3,6,5.7361,0.09,,1,,,,,,
HD 79498,b,3,26,1807,0.575,226.8,1,,,,,,
HD 80606,b,3,472,111.4367,0.93,,1,,,,,,
HD 81040,b,3,168,1001.70001,0.53,,1,,,,,,
HD 81688,b,3,58.58,184.02,0,0,1,,,,,,
HD 82943,b,3,41.91,441.47,0.162,300.9,2,,,,,,
HD 82886,b,3,28.7,705,0.07,,1,,,,,,
HD 83443,b,3,56.2,2.9857,0.01,,1,,,,,,
Kepler-25,b,3,,6.238297,0.0029,,3,,,,,,
GJ 163,b,3,6.13,8.63182,0.073,70.7,3,,,,,,
GJ 179,b,3,25.8,2288,0.21,153,1,,,,,,
